timestamp,sent_rate,recv_rate
1.04,0,979
2.06,7107,1544
3.08,16643,8077
4.1,4123,3740
5.11,8883,180
6.12,341,789
7.14,0,0
8.16,10272,120
9.18,429,733
10.2,294,138
11.21,267,167
12.23,212,66
13.25,178,787
14.27,0,0
15.28,15456,513
16.29,0,300
17.31,0,332
18.32,18009,1065
19.37,6627,5485
20.39,16053,12172
21.41,16466,8700
22.42,884,504
23.44,20045,11924
24.46,3913,4019
25.48,24038,34812
26.49,60504,54427
27.51,9354,844
28.53,28754,40685
29.55,12917,4318
30.57,9180,495
31.59,9909,34761
32.6,12849,10386
33.63,2084,339
34.66,178,259
35.68,19477,239868
36.69,53028,1724580
37.71,65496,1645208
38.72,44508,1256568
39.74,37115,1151144
40.75,62398,1486814
41.77,50264,1373615
42.79,50104,1099164
43.81,71057,1097117
44.82,31231,539976
45.84,50913,541137
46.85,24841,363034
47.87,43344,781756
48.88,37477,876732
49.9,38940,802480
50.92,30745,670840
51.93,39990,763301
52.94,42299,922086
53.96,45211,1077407
54.98,44760,1015894
55.99,45078,1252144
57.01,25415,722304
58.04,66701,1054318
59.05,47485,856924
60.07,21410,381732
61.08,32368,617778
62.09,99710,1482779
63.11,74962,1928835
64.13,44227,1141936
65.15,49267,1426270
66.17,48090,1161741
67.18,56211,1406812
68.19,38664,1185974
69.2,76695,1951050
70.22,60178,1657428
71.23,81588,1614645
72.24,61901,1858192
73.26,67389,1842538
74.28,71151,2056627
75.29,74492,2418517
76.32,80267,1929937
77.33,82052,1722222
78.35,65795,1680693
79.37,103127,2414344
80.38,71428,1373615
81.4,89841,2104925
82.41,60993,1192181
83.43,34338,649758
84.44,52714,1168808
85.45,45695,721495
86.48,47592,1351704
87.49,55812,1570216
88.51,63546,1943048
89.54,66584,2157091
90.55,75326,2111816
91.56,74541,2308426
92.59,89846,2437646
93.6,72152,2189336
94.61,25257,366268
95.62,2985,1276
96.63,0,46
97.65,15577,837
98.66,539,796
99.68,82,184
100.69,0,0
101.7,55,66
102.72,0,486
103.74,18049,602
104.76,162,435
105.77,86,172
106.78,108,187
107.79,178,318
108.81,251,284
109.83,109,238
110.85,137,204
111.86,9570,1318
112.87,6233,8658
113.88,196,3216
114.9,5232,3885
115.91,12204,9319
116.92,110,1774
117.94,0,0
118.96,194,187
119.98,7511,7199
120.99,380,838
122.01,86,266
123.02,3963,918
124.03,54,60
125.04,55,352
126.05,611,878
127.07,163,665
128.09,178,1162
129.1,5786,1315
130.11,294,1002
131.13,267,782
132.15,212,0
133.16,0,1026
134.17,0,0
135.19,55,66
136.2,55,60
137.22,55,66
138.23,17900,933
139.24,198,1053
140.26,137,286
141.28,0,0
142.29,0,860
143.3,55,364
144.32,0,539
145.33,108,187
146.34,108,187
147.36,55,212
148.37,0,434
149.39,178,1052
150.4,82,138
151.42,124,971
152.44,162,947
153.46,162,291
154.47,109,238
155.48,0,116
156.5,108,426
157.51,0,0
158.53,0,592
159.54,0,120
160.56,302,402
161.59,110,122
162.6,0,60
163.61,0,179
164.63,55,66
165.64,0,254
166.66,108,622
167.67,163,313
168.69,0,60
169.7,287,444
170.71,82,220
171.73,110,66
172.74,0,116
173.76,55,60
174.77,55,66
175.78,55,444
176.8,0,0
177.81,0,120
178.83,0,0
179.84,137,944
180.85,0,1533
181.87,55,1047
182.88,71943,38265
183.9,110,390
184.91,0,0
185.92,55,126
186.93,0,56
187.95,0,1705
188.97,233,1060
